company,official_url,linkedin_url,match_score,detail_page_slug,source,needs_review,review_reason
"Biomiga, Inc.",https://www.biomiga.com,,100.0,/co/biomiga-inc,adlm_directory,no,
Bio-Techne Diagnostics,https://www.bio-techne.com/diagnostics,,100.0,/co/bio-techne-diagnostics,adlm_directory,no,
"Birk Manufacturing, Inc.",https://www.birkmfg.com,,100.0,/co/birk-manufacturing-inc,adlm_directory,no,
BizLink Elocab Ltd,https://elocab.bizlinktech.com/,,100.0,/co/bizlink-elocab-ltd,manual_web_lookup,no,
Brooks Automation,https://www.brookslabautomation.com,,100.0,/co/brooks-automation,adlm_directory,no,
Bruker,https://www.bruker.com/en.html,,100.0,/co/bruker,adlm_directory,no,
BUHLMANN Diagnostics,https://www.buhlmannlabs.com,,100.0,/co/buhlmann-diagnostics,adlm_directory,no,
Burkert Fluid Control Systems,https://www.burkert-usa.com/en/products/microfluidics-products-and-pumps?n=1,,100.0,/co/burkert-fluid-control-systems,adlm_directory,no,
"Calbiotech, Inc.",http://www.calbiotech.com,,100.0,/co/calbiotech-inc,adlm_directory,no,
Capitainer,https://www.capitainer.com,,100.0,/co/capitainer,adlm_directory,no,
Caplugs / Evergreen,https://www.evergreensci.com,,100.0,/co/caplugs-evergreen,adlm_directory,no,
Capralogics Inc.,https://www.capralogics.com,,100.0,/co/capralogics-inc,adlm_directory,no,
Catachem,https://catacheminc.com/,,100.0,/co/catachem,adlm_directory,no,
Colorcon,https://www.colorcon.com/industries/diagnostics,,100.0,/co/colorcon,adlm_directory,no,
"Copan Diagnostics, Inc.",https://www.copanusa.com,,100.0,/exhibitors/exhibitor/681,adlm_directory,no,
Copia Scientific,https://www.copiasci.com,https://www.linkedin.com/company/copiascientific/,100.0,/co/copia-scientific,adlm_directory,no,
Corvalent Corporation,https://www.corvalent.com,,100.0,/co/corvalent-corporation,adlm_directory,no,
Coyote Bioscience,http://www.coyotebio.com/en/,,100.0,/co/coyote-bioscience,adlm_directory,no,
CPS Fluidics,https://www.cpsfluidics.com/,,100.0,/co/cps-fluidics,adlm_directory,no,
Crescent Industries,https://www.crescentind.com,,100.0,/co/crescent-industries,adlm_directory,no,
"Currier Plastics, Inc.",https://www.CurrierPlastics.com,,100.0,/co/currier,adlm_directory,no,
CytoChip Inc.,https://www.cytochipinc.com,,100.0,/co/cytochip-inc,adlm_directory,no,
Danaher,https://danaher.com/our-businesses/diagnostics,,100.0,/co/danaher,adlm_directory,no,
Data Innovations LLC,https://www.datainnovations.com,,100.0,/co/data-innovations-llc,adlm_directory,no,
DCN Diagnostics LLC,https://www.dcndx.com,,100.0,/co/dcn-diagnostics-llc,adlm_directory,no,
Detekt Biomedical,http://www.idetekt.com,,100.0,/co/detekt-biomedical,adlm_directory,no,
"Diagnostica Stago, Inc.",http://www.stago-us.com,https://www.linkedin.com/company/stago-diagnostics-is-in-our-blood/?viewAsMember=true,100.0,/co/diagnostica-stago-inc,adlm_directory,no,
Diagnostics Biochem Canada Inc.,https://www.dbc-labs.com,,100.0,/co/diagnostics-biochem-canada-inc,adlm_directory,no,
Diasorin,https://us.diasorin.com/en,,100.0,/co/diasorin,adlm_directory,no,
"Diazyme Laboratories, Inc.",https://www.diazyme.com,,100.0,/co/diazyme-laboratories-inc,adlm_directory,no,
Electronic Lab Logs,https://www.lablogs.com/,,100.0,/co/electronic-lab-logs,adlm_directory,no,
ELEXAN Scientific,https://elexansci.com,,100.0,/co/elexan-scientific,adlm_directory,no,
ELGA LabWater,https://www.elgalabwater.com,,100.0,/co/elga-labwater,adlm_directory,no,
"Envigo Bioproducts, Inc.",https://www.envigo.com,,100.0,/co/envigo-bioproducts-inc,adlm_directory,no,
"Epitope Diagnostics, Inc.",http://www.epitopediagnostics.com,https://www.linkedin.com/company/epitope-diagnostics-inc./,100.0,/co/epitope-diagnostics-inc,adlm_directory,no,
EUROIMMUN,https://www.euroimmun.us/,,100.0,/co/euroimmun,adlm_directory,no,
"Evik Diagnostic Innovations, Inc.",https://www.evikdiagnostics.com,,100.0,/co/evik-diagnostic-innovations-inc,adlm_directory,no,
Ferrotec,http://www.ferrotec.com,https://www.linkedin.com/company/ferrotec,100.0,/co/ferrotec,adlm_directory,no,
"Finger Lakes Instrumentation, LLC",http://www.flicamera.com,https://www.linkedin.com/company/finger-lakes-instrumentation/,100.0,/co/finger-lakes-instrumentation-llc,adlm_directory,no,
"Fluid Metering, Inc.",http://www.fluidmetering.com,,100.0,/co/fluid-metering-inc,adlm_directory,no,
Fluid-o-Tech International Inc.,https://fluidotech.it,,100.0,/co/fluid-o-tech-international-inc,adlm_directory,no,
Fluxergy,https://www.Fluxergy.com,,100.0,/co/fluxergy,adlm_directory,no,
Fortis Life Sciences,https://fortislife.com/,,100.0,/co/fortis-life-sciences,adlm_directory,no,
FUJIFILM Healthcare Americas Corporation,https://www.fujifilmivd-us.com,,100.0,/co/fujifilm-healthcare-americas-corporation,adlm_directory,no,
Globe Scientific Inc.,https://www.globescientific.com,,100.0,/co/globe-scientific-inc,adlm_directory,no,
Gold Standard Diagnostics,https://clinical.goldstandarddiagnostics.com/us/,,100.0,/co/gold-standard-diagnostics,adlm_directory,no,
"Greiner Bio-One North America, Inc.",https://www.gbo.com,,100.0,/co/greiner-bio-one-north-america-inc,adlm_directory,no,
Grifols,https://www.diagnostic.grifols.com,,100.0,/co/grifols,adlm_directory,no,
Hamilton Company,https://www.hamiltoncompany.com/adlm2024,,100.0,/co/hamilton-company,adlm_directory,no,
Helena Laboratories - Labcon,https://www.helena.com,,100.0,/co/helena-laboratories-labcon,adlm_directory,no,
Hettich Instruments,https://www.hettweb.com/adlm-clinical-lab-expo-2025/,,100.0,/co/hettich-instruments,adlm_directory,no,
HiComp Microtech,https://www.hicomp.us/,https://linkedin.com/company/hicompus,100.0,/co/hicomp-microtech,adlm_directory,no,
Hochuen International Corp,https://www.hochuen-med.com,,100.0,/co/hochuen-international-corp,adlm_directory,no,
Hologic,http://www.hologic.com,,100.0,/co/hologic,adlm_directory,no,
HORIBA,https://www.horiba.com/usa/healthcare/,https://www.linkedin.com/company/horiba-for-healthcare-usa/,100.0,/co/horiba,adlm_directory,no,
Hycor Biomedical LLC,https://www.hycorbiomedical.com/,,100.0,/co/hycor-biomedical-llc,adlm_directory,no,
Hymson Novolas,https://global.hymson.com/en/about-haimu-star/subsidiary,,100.0,/co/hymson-novolas,adlm_directory,no,
IBL-America,https://www.IBL-America.com,,100.0,/co/ibl-america,adlm_directory,no,
ICL,https://www.icllab.com,,100.0,/co/icl,adlm_directory,no,
IEI Technology USA Corp.,https://www.ieiworld.com/en/,,100.0,/co/iei-technology-usa-corp,adlm_directory,no,
IIN Group,https://www.iingroup.eu/,https://www.linkedin.com/company/iin-group-oy,100.0,/co/iin-group,adlm_directory,no,
Immuno Concepts,https://www.immunoconcepts.com,,100.0,/co/immuno-concepts,adlm_directory,no,
"ImmunoReagents, Inc.",https://www.immunoreagents.com,,100.0,/co/immunoreagents-inc,adlm_directory,no,
"InBios International, Inc.",https://www.inbios.com,,100.0,/co/inbios-international-inc,adlm_directory,no,
Indigo BioAutomation,https://www.indigobio.com,,100.0,/co/indigo-bioautomation,adlm_directory,no,
InstruVU,https://instruvu.com/,,100.0,/co/instruvu,adlm_directory,no,
IRIS Kinetics,https://iriskinetics.com,,100.0,/co/iris-kinetics,adlm_directory,no,
IUL Inc.,https://iul-instruments.com/,https://linkedin.com/company/iul-instruments-us/,100.0,/co/iul-inc,adlm_directory,no,
"IVD Research, Inc.",https://www.ivdresearch.com,,100.0,/co/ivd-research-inc,adlm_directory,no,
Iwaki America Inc.,https://www.iwakiamerica.com,,100.0,/co/iwaki-america-inc,adlm_directory,no,
Jackson ImmunoResearch Laboratories,https://www.jacksonimmuno.com,http://www.linkedin.com/company/Jackson-immunoresearch,100.0,/co/jackson-immunoresearch-laboratories,adlm_directory,no,
Kemp Proteins,https://kempproteins.com,,100.0,/co/kemp-proteins,adlm_directory,no,
"Lampire Biological Laboratories, Inc.",https://www.lampire.com,,100.0,/co/lampire-biological-laboratories-inc,adlm_directory,no,
"LumiQuick Diagnostics, Inc.",https://www.lumiquick.com,,100.0,/co/lumiquick-diagnostics-inc,adlm_directory,no,
Lusis Biosciences Inc,http://www.lusisbio.com,,100.0,/co/lusis-biosciences-inc,adlm_directory,no,
Macula Vision Systems,https://macula-vision.com,,100.0,/co/macula-vision-systems,adlm_directory,no,
McKesson Medical-Surgical,https://www.mckesson.com/,,100.0,/co/mckesson-medical-surgical,adlm_directory,no,
Med Water Systems,https://www.medwatersystems.com,,100.0,/co/med-water-systems,adlm_directory,no,
Medica Corporation,https://www.medicacorp.com,https://www.linkedin.com/company/medica-corporation,100.0,/co/medica-corporation,adlm_directory,no,
"Medical Electronic Systems, LLC",https://www.mes-global.com,,100.0,/co/medical-electronic-systems-llc,adlm_directory,no,
MedicalLab Management Magazine,https://www.medlabmag.com,,100.0,/co/medicallab-management-magazine,adlm_directory,no,
"MetaSystems Group, Inc.",https://metasystems-international.com/,,100.0,/co/metasystems-group-inc,adlm_directory,no,
Metrohm USA,https://www.metrohm.com/,https://www.linkedin.com/company/metrohm-usa,100.0,/co/metrohm-usa,adlm_directory,no,
Microbiology International,https://800ezmicro.com,,100.0,/co/microbiology-international,adlm_directory,no,
microFAST Dx,https://microfastdx.com/,,100.0,/co/microfast-dx,adlm_directory,no,
MilliporeSigma,https://www.emdmillipore.com,,100.0,/exhibitors/exhibitor/806,adlm_directory,no,
MK Fluidic Systems,https://www.mkfluidicsystems.com,,100.0,/co/mk-fluidic-systems,adlm_directory,no,
Molecular Designs,https://www.moleculardesigns.com/,,100.0,/co/molecular-designs,adlm_directory,no,
Monobind Inc.,http://www.monobind.com,,100.0,/co/monobind-inc,adlm_directory,no,
"Moss, Inc.",https://www.MossBio.com,,100.0,/co/moss-inc,adlm_directory,no,
MPD Scientific,https://www.mpdscientific.com/,,100.0,/co/mpd-scientific,adlm_directory,no,
Neogen,https://www.neogen.com,,100.0,/co/neogen,adlm_directory,no,
Nest Scientific Inc.,https://www.nestscientificusa.com,,100.0,/co/nest-scientific-inc,adlm_directory,no,
New England Biolabs,http://www.neb.com,,100.0,/exhibitors/exhibitor/774,adlm_directory,no,
New England Biolabs,http://www.neb.com,,100.0,/exhibitors/exhibitor/774,adlm_directory,no,
New England Small Tube,http://www.nesmalltube.com,,100.0,/co/new-england-small-tube,adlm_directory,no,
Nikon Instruments Inc.,https://www.microscope.healthcare.nikon.com/,,100.0,/co/nikon-instruments-inc,adlm_directory,no,
Nova Biomedical,https://www.novabiomedical.com/,,100.0,/co/nova-biomedical,adlm_directory,no,
Novanta,https://www.novanta.com,,100.0,/co/novanta,adlm_directory,no,
NuAire,https://www.nuaire.com,,100.0,/co/nuaire,adlm_directory,no,
NuvinkaDx,https://www.nuvinkadx.com/,,100.0,/co/nuvinkadx,adlm_directory,no,
Omega Bio-Tek,https://www.omegabiotek.com,,100.0,/co/omega-bio-tek,adlm_directory,no,
"OnsiteGene, Inc.",https://www.onsitegene.com,,100.0,/co/onsitegene-inc,adlm_directory,no,
"Opticon, Inc.",https://www.opticonusa.com,,100.0,/co/opticon-inc,adlm_directory,no,
"Oyster Bay Pump Works, Inc",http://www.obpw.com,,100.0,/co/oyster-bay-pump-works-inc,adlm_directory,no,
Pel-Freez Biologicals,https://www.pel-freez.com,,100.0,/co/pel-freez-biologicals,adlm_directory,no,
PixCell Medical,https://www.pixcell-medical.com,,100.0,/co/pixcell-medical,adlm_directory,no,
Planet Innovation Pty Ltd.,https://www.planetinnovation.com,,100.0,/co/planet-innovation-pty-ltd,adlm_directory,no,
"Polymedco, Inc.",https://www.polymedco.com,https://www.linkedin.com/company/polymedco/,100.0,/co/polymedco-inc,adlm_directory,no,
Proliant Health and Biologicals,https://www.phb1.com/,,100.0,/co/proliant-health-and-biologicals,adlm_directory,no,
Puritan Medical Products,https://www.puritanmedproducts.com,,100.0,/co/puritan-medical-products,adlm_directory,no,
Quansys Biosciences,http://www.quansysbio.com,,100.0,/co/quansys-biosciences,adlm_directory,no,
Quantimetrix Corporation,http://www.quantimetrix.com,https://www.linkedin.com/company/147373,100.0,/co/quantimetrix-corporation,adlm_directory,no,
QuantiScientifics LLC,http://www.quantiscientifics.com,,100.0,/co/quantiscientifics-llc,adlm_directory,no,
QuidelOrtho,https://www.quidelortho.com,,100.0,/exhibitors/exhibitor/795,adlm_directory,no,
QuidelOrtho,https://www.quidelortho.com,,100.0,/exhibitors/exhibitor/795,adlm_directory,no,
Randox Laboratories,https://www.randox.com,,100.0,/co/randox-laboratories,adlm_directory,no,
Rees Scientific Corp,https://www.reesscientific.com,,100.0,/co/rees-scientific-corp,adlm_directory,no,
Resonetics,https://www.resonetics.com,,100.0,/co/resonetics,adlm_directory,no,
Response Biomedical,https://www.responsebio.com,,100.0,/co/response-biomedical,adlm_directory,no,
SA Scientific Ltd.,http://www.sascientific.com,,100.0,/co/sa-scientific-ltd,adlm_directory,no,
Sanzay Corp,http://idgone.com,,100.0,/co/sanzay-corp,adlm_directory,no,
Sartorius,https://www.sartorius.com,,100.0,/co/sartorius,adlm_directory,no,
SCHOTT MINIFAB,https://www.schott-minifab.com,,100.0,/co/schott-minifab,adlm_directory,no,
"SDIX, LLC",https://www.sdix.com,,100.0,/co/sdix-llc,adlm_directory,no,
Sebia,http://www.sebia.com/en-us,,100.0,/co/sebia,adlm_directory,no,
"Shimadzu Scientific Instruments, Inc.",https://www.shimadzu.com/an/,,100.0,/co/shimadzu-scientific-instruments-inc,adlm_directory,no,
Siemens Healthineers,https://events.siemens-healthineers.com/adlm,,100.0,/co/siemens-healthineers,adlm_directory,no,
Siemens Healthineers,https://events.siemens-healthineers.com/adlm,,100.0,/co/siemens-healthineers,adlm_directory,no,
SmartSense by Digi,http://www.smartsense.co,,100.0,/co/smartsense-by-digi,adlm_directory,no,
SMC Corporation of America,https://www.smcusa.com,https://www.linkedin.com/company/smc,100.0,/co/smc-corporation-of-america,adlm_directory,no,
SpeeDx Pty Ltd,https://plexpcr.com/,,100.0,/co/speedx-pty-ltd,adlm_directory,no,
SSI Diagnostica,https://ssid.com/,,100.0,/co/ssi-diagnostica,adlm_directory,no,
Surmodics IVD,https://shop.surmodics.com/,,100.0,/co/surmodics-ivd,adlm_directory,no,
Synoligo Biotechnologies,https://synoligo.com/,,100.0,/co/synoligo-biotechnologies,adlm_directory,no,
Synthego,https://www.synthego.com,https://www.linkedin.com/company/synthego/,100.0,/co/synthego,adlm_directory,no,
Sysmex America,https://www.sysmex.com,,100.0,/co/sysmex-america,adlm_directory,no,
Teco Diagnostics,https://www.tecodiagnostics.com,,100.0,/co/teco-diagnostics,adlm_directory,no,
Tetracore,https://www.tetracore.com/,,100.0,/co/tetracore,adlm_directory,no,
The Lee Company,https://www.theleeco.com/diagnostics,,100.0,/co/the-lee-company,adlm_directory,no,
Thermo Fisher Scientific,http://www.thermofisher.com,,100.0,/co/thermo-fisher-scientific,adlm_directory,no,
TN Plastics,https://www.tn-plastics.com,https://www.linkedin.com/company/tn-plastics-a-tsubaki-nakashima-company/posts/?feedView=all,100.0,/co/tn-plastics,adlm_directory,no,
Tosoh Bioscience,https://lab.tosoh.com/adlm-2026,,100.0,/co/tosoh-bioscience,adlm_directory,no,
Trajan Scientific and Medical,http://www.trajanscimed.com,,100.0,/co/trajan-scientific-and-medical,adlm_directory,no,
Waters Advanced Diagnostics,https://www.waters.com/clinical,,100.0,/co/waters-advanced-diagnostics,adlm_directory,no,
"Wondfo USA Co., Ltd.",https://www.wondfousa.com,,100.0,/co/wondfo-usa-co-ltd,adlm_directory,no,
ZeptoMetrix LLC,https://www.zeptometrix.com,,100.0,/co/zeptometrix-llc,adlm_directory,no,
